Timestamp,attractiveness ,relationship_number
4/4/2024 12:39:52,attractive,2
4/4/2024 13:16:39,attractive,0
4/4/2024 13:17:10,attractive,1
4/4/2024 13:17:24,attractive,0
4/4/2024 14:01:43,attractive,1
4/4/2024 14:01:48,attractive,2
4/4/2024 14:03:38,attractive,3
4/4/2024 14:11:35,attractive,0
4/4/2024 14:19:49,attractive,1
4/4/2024 15:02:44,attractive,1
4/4/2024 15:28:54,attractive,5
4/4/2024 15:29:49,attractive,1
4/4/2024 15:42:35,attractive,3
4/4/2024 17:28:27,attractive,4
4/4/2024 21:19:48,attractive,2
4/4/2024 21:19:55,attractive,1
4/5/2024 6:07:24,attractive,2
4/5/2024 6:30:10,attractive,2
4/5/2024 9:26:33,attractive,2
4/5/2024 11:41:22,attractive,2
4/5/2024 14:18:25,attractive,0
4/5/2024 20:56:26,attractive,5
4/7/2024 18:10:13,attractive,4
4/7/2024 21:27:09,attractive,1
4/7/2024 21:28:21,attractive,2
4/7/2024 22:09:49,attractive,0
4/7/2024 22:10:07,attractive,1
4/7/2024 22:10:08,attractive,3
4/7/2024 22:10:18,attractive,0
4/7/2024 22:10:25,attractive,2
4/7/2024 22:10:33,attractive,2
4/7/2024 22:13:42,attractive,1
4/7/2024 22:14:24,attractive,1
4/7/2024 22:15:00,attractive,2
4/7/2024 22:15:03,attractive,2
