Timestamp,attractiveness,relationship_amount
4/7/2024 21:27:15,Average,1
4/7/2024 21:27:30,Average,1
4/7/2024 21:27:52,Average,3
4/7/2024 21:27:58,Somewhat attractive,0
4/7/2024 21:28:15,Not at all attractive,2
4/7/2024 21:28:21,Very attractive,2
4/7/2024 21:28:27,Somewhat attractive,4
4/7/2024 21:28:33,Average,2
4/7/2024 21:28:34,Average,1
4/7/2024 21:28:42,Somewhat attractive,0
4/7/2024 21:28:49,Average,1
4/7/2024 22:08:51,Somewhat attractive,2
4/7/2024 22:09:13,Somewhat attractive,1
4/7/2024 22:09:31,Somewhat attractive,2
4/7/2024 22:09:49,Very attractive,0
4/7/2024 22:10:07,Very attractive,1
4/7/2024 22:10:08,Very attractive,3
4/7/2024 22:10:18,Very attractive,0
4/7/2024 22:10:25,Very attractive,2
4/7/2024 22:10:33,Very attractive,2
4/7/2024 22:10:44,Somewhat attractive,2
4/7/2024 22:11:09,Not very attractive,1
4/7/2024 22:13:42,Very attractive,1
4/7/2024 22:13:52,Somewhat attractive,2
4/7/2024 22:13:55,Average,2
4/7/2024 22:13:59,Somewhat attractive,3
4/7/2024 22:14:03,Somewhat attractive,1
4/7/2024 22:14:05,Somewhat attractive,1
4/7/2024 22:14:12,Somewhat attractive,1
4/7/2024 22:14:21,Somewhat attractive,2
4/7/2024 22:14:24,Very attractive,1
4/7/2024 22:14:28,Somewhat attractive,2
4/7/2024 22:14:35,Somewhat attractive,1
4/7/2024 22:14:41,Somewhat attractive,2
4/7/2024 22:14:41,Average,2
4/7/2024 22:14:46,Somewhat attractive,2
4/7/2024 22:14:52,Somewhat attractive,1
4/7/2024 22:14:58,Somewhat attractive,1
4/7/2024 22:15:00,Very attractive,2
4/7/2024 22:15:03,Very attractive,2
4/7/2024 22:15:04,Somewhat attractive,2
4/7/2024 22:15:09,Somewhat attractive,2
4/7/2024 22:15:13,Somewhat attractive,0
4/7/2024 22:15:16,Somewhat attractive,3
4/7/2024 22:15:23,Somewhat attractive,1
4/7/2024 22:15:29,Somewhat attractive,0
4/7/2024 22:15:29,Somewhat attractive,2
