Date,Open,High,Low,Close,Adj Close,Volume,Day
2/28/14,4323.52002,4342.589844,4275.609863,4308.120117,4308.120117,2617730000,1
3/3/14,4261.419922,4284.149902,4239.649902,4277.299805,4277.299805,2077500000,2
3/4/14,4327.850098,4357.209961,4327.540039,4351.970215,4351.970215,2477850000,3
3/5/14,4352.759766,4362.5,4344.149902,4357.970215,4357.970215,2215980000,4
3/6/14,4368.810059,4371.709961,4341,4352.129883,4352.129883,2136260000,5
3/7/14,4370.97998,4371.390137,4319.149902,4336.220215,4336.220215,2175560000,6
3/10/14,4332.620117,4339.930176,4307.839844,4334.450195,4334.450195,2111610000,7
3/11/14,4342.930176,4354.430176,4295.470215,4307.189941,4307.189941,2477780000,8
3/12/14,4288.600098,4323.330078,4270.220215,4323.330078,4323.330078,2131880000,9
3/13/14,4338.259766,4339.899902,4242.950195,4260.419922,4260.419922,2383600000,10
3/14/14,4250.450195,4272.339844,4241.939941,4245.399902,4245.399902,2196890000,11
3/17/14,4274.220215,4301.279785,4273.009766,4279.950195,4279.950195,1810410000,12
3/18/14,4286.220215,4334.660156,4284.109863,4333.310059,4333.310059,1962890000,13
3/19/14,4331.459961,4334.299805,4283.540039,4307.600098,4307.600098,1992750000,14
3/20/14,4297.990234,4329.609863,4287.410156,4319.290039,4319.290039,1847270000,15
3/21/14,4339.899902,4344.390137,4268.339844,4276.790039,4276.790039,3245740000,16
3/24/14,4289.490234,4289.490234,4190.609863,4226.390137,4226.390137,2434650000,17
3/25/14,4252.649902,4274.319824,4203.640137,4234.27002,4234.27002,2270760000,18
3/26/14,4254.97998,4263.069824,4173.580078,4173.580078,4173.580078,2455460000,19
3/27/14,4169.350098,4186.129883,4131.810059,4151.22998,4151.22998,2270650000,20
3/28/14,4163.180176,4203.490234,4144.689941,4155.759766,4155.759766,2029840000,21
3/31/14,4185.629883,4212.970215,4180.540039,4198.990234,4198.990234,2090850000,22
4/1/14,4219.870117,4268.200195,4218.77002,4268.040039,4268.040039,2153130000,23
4/2/14,4281.609863,4286.089844,4258.859863,4276.459961,4276.459961,2187100000,24
4/3/14,4282.180176,4284.689941,4216.569824,4237.740234,4237.740234,2067370000,25
4/4/14,4263.939941,4267.060059,4118.709961,4127.72998,4127.72998,2621270000,26
4/7/14,4110.919922,4133.680176,4052.139893,4079.75,4079.75,2554680000,27
4/8/14,4085.179932,4120.240234,4066.110107,4112.990234,4112.990234,2198900000,28
4/9/14,4129.629883,4185.189941,4121.169922,4183.899902,4183.899902,1957560000,29
4/10/14,4181.209961,4182.609863,4042.76001,4054.110107,4054.110107,2421210000,30
4/11/14,4015.070068,4067.219971,3991.639893,3999.72998,3999.72998,2264480000,31
4/14/14,4038.060059,4050.790039,3986.5,4022.689941,4022.689941,1890480000,32
4/15/14,4032.629883,4054.800049,3946.030029,4034.159912,4034.159912,2413110000,33
4/16/14,4066.820068,4086.280029,4038.810059,4086.22998,4086.22998,1863110000,34
4/17/14,4080.300049,4110.459961,4064.699951,4095.52002,4095.52002,1954720000,35
4/21/14,4105.370117,4121.549805,4081.909912,4121.549805,4121.549805,1544440000,36
4/22/14,4132.060059,4170.720215,4131.609863,4161.459961,4161.459961,1875930000,37
4/23/14,4160.899902,4161.439941,4125.410156,4126.970215,4126.970215,1794760000,38
4/24/14,4174.609863,4177.160156,4107.52002,4148.339844,4148.339844,2130870000,39
4/25/14,4125.160156,4126.97998,4068.100098,4075.560059,4075.560059,2087140000,40
4/28/14,4091.810059,4111.589844,4014.169922,4074.399902,4074.399902,2348320000,41
4/29/14,4089.51001,4111.450195,4070.25,4103.540039,4103.540039,1911240000,42
4/30/14,4085.189941,4116.140137,4070.629883,4114.560059,4114.560059,2151400000,43
5/1/14,4121.25,4149.560059,4105.609863,4127.450195,4127.450195,2077040000,44
5/2/14,4138.629883,4145.060059,4115.890137,4123.899902,4123.899902,1844790000,45
5/5/14,4099.25,4138.339844,4086.350098,4138.060059,4138.060059,1561170000,46
5/6/14,4128.220215,4132.459961,4080.76001,4080.76001,4080.76001,1850610000,47
5/7/14,4085.48999,4091.030029,4021.050049,4067.669922,4067.669922,2486030000,48
5/8/14,4053.280029,4109.200195,4039.909912,4051.5,4051.5,2411940000,49
5/9/14,4043.439941,4071.870117,4025.23999,4071.870117,4071.870117,1976160000,50
5/12/14,4092.840088,4146.540039,4092.090088,4143.859863,4143.859863,1880020000,51
5/13/14,4144.899902,4155.129883,4128.009766,4130.169922,4130.169922,1923480000,52
5/14/14,4122.080078,4132.330078,4093.830078,4100.629883,4100.629883,1764430000,53
5/15/14,4096.529785,4098.25,4035.959961,4069.290039,4069.290039,2083030000,54
5/16/14,4070.350098,4091.159912,4044.27002,4090.590088,4090.590088,1741070000,55
5/19/14,4080.330078,4128.470215,4075.699951,4125.810059,4125.810059,1601400000,56
5/20/14,4121.109863,4124.859863,4080.610107,4096.890137,4096.890137,1797910000,57
5/21/14,4105.959961,4133.609863,4103.609863,4131.540039,4131.540039,1703500000,58
5/22/14,4136.089844,4164.850098,4131.470215,4154.339844,4154.339844,1835810000,59
5/23/14,4159.779785,4186.580078,4148.299805,4185.810059,4185.810059,1536610000,60
5/27/14,4206.439941,4237.069824,4204.720215,4237.069824,4237.069824,1812330000,61
5/28/14,4234.959961,4238.169922,4216.890137,4225.080078,4225.080078,1785140000,62
5/29/14,4238.040039,4247.950195,4228.959961,4247.950195,4247.950195,1714000000,63
5/30/14,4251.490234,4252.080078,4221.950195,4242.620117,4242.620117,1903660000,64
6/2/14,4247.959961,4247.959961,4207.609863,4237.200195,4237.200195,1631310000,65
6/3/14,4222.040039,4240.350098,4215.799805,4234.080078,4234.080078,1718640000,66
6/4/14,4222.209961,4256.189941,4216.22998,4251.640137,4251.640137,1610090000,67
6/5/14,4259.120117,4299.5,4241.680176,4296.22998,4296.22998,1926750000,68
6/6/14,4312.759766,4322.509766,4305.740234,4321.399902,4321.399902,1616650000,69
6/9/14,4324.350098,4346.740234,4320.279785,4336.240234,4336.240234,1783060000,70
6/10/14,4329.200195,4338.870117,4319.930176,4338,4338,1787120000,71
6/11/14,4322.919922,4338.209961,4315.490234,4331.930176,4331.930176,1778460000,72
6/12/14,4323.109863,4328.350098,4284.529785,4297.629883,4297.629883,1908190000,73
6/13/14,4315.310059,4317.669922,4288.410156,4310.649902,4310.649902,1754560000,74
6/16/14,4303.930176,4326.890137,4296.259766,4321.100098,4321.100098,1675120000,75
6/17/14,4316.009766,4346.120117,4311.149902,4337.22998,4337.22998,1814360000,76
6/18/14,4341.180176,4365.100098,4320.540039,4362.839844,4362.839844,1860660000,77
6/19/14,4370.140137,4372.180176,4339.609863,4359.330078,4359.330078,1845460000,78
6/20/14,4365.370117,4368.799805,4354.029785,4368.040039,4368.040039,2721380000,79
6/23/14,4368.959961,4371.810059,4358.680176,4368.680176,4368.680176,1712930000,80
6/24/14,4367.899902,4399.870117,4342.899902,4350.350098,4350.350098,2014700000,81
6/25/14,4341.819824,4383.549805,4339.410156,4379.759766,4379.759766,1722820000,82
6/26/14,4379.439941,4379.799805,4347.450195,4379.049805,4379.049805,1554070000,83
6/27/14,4371.799805,4398.850098,4371.600098,4397.930176,4397.930176,3964930000,84
6/30/14,4398.370117,4417.459961,4396.589844,4408.180176,4408.180176,1848110000,85
7/1/14,4424.709961,4471.600098,4424.430176,4458.649902,4458.649902,1942550000,86
7/2/14,4457.859863,4466.919922,4450.870117,4457.72998,4457.72998,1599480000,87
7/3/14,4472.890137,4485.930176,4463.850098,4485.930176,4485.930176,1001730000,88
7/7/14,4477.740234,4478.02002,4447.600098,4451.529785,4451.529785,1691390000,89
7/8/14,4442.870117,4443.560059,4372.040039,4391.459961,4391.459961,2221820000,90
7/9/14,4403.029785,4421.930176,4388.009766,4419.029785,4419.029785,1736960000,91
7/10/14,4352.040039,4415.850098,4351.040039,4396.200195,4396.200195,1682920000,92
7/11/14,4401.049805,4417.160156,4389.290039,4415.490234,4415.490234,1511250000,93
7/14/14,4441.390137,4451.600098,4432.950195,4440.419922,4440.419922,1579660000,94
7/15/14,4444.910156,4451.930176,4389.700195,4416.390137,4416.390137,1772030000,95
